,fecha,hospital,altas,fallecimientos
0,2020-02-26,Todos,1058.529715762274,0
1,2020-02-26,Todos,1058.529715762274,0
2,2020-02-26,Todos,1058.529715762274,0
3,2020-02-26,Todos,1058.529715762274,0
4,2020-02-26,Todos,1058.529715762274,0
5,2020-02-26,Todos,1058.529715762274,0
6,2020-02-26,Todos,1058.529715762274,0
7,2020-02-26,Todos,1058.529715762274,0
8,2020-02-27,Todos,1058.529715762274,0
9,2020-02-27,Todos,1058.529715762274,0
10,2020-02-27,Todos,1058.529715762274,0
11,2020-02-27,Todos,1058.529715762274,0
12,2020-02-27,Todos,1058.529715762274,0
13,2020-02-27,Todos,1058.529715762274,0
14,2020-02-27,Todos,1058.529715762274,0
15,2020-02-27,Todos,1058.529715762274,0
16,2020-02-28,Todos,1058.529715762274,0
17,2020-02-28,Todos,1058.529715762274,0
18,2020-02-28,Todos,1058.529715762274,0
19,2020-02-28,Todos,1058.529715762274,0
20,2020-02-28,Todos,1058.529715762274,0
21,2020-02-28,Todos,1058.529715762274,0
22,2020-02-28,Todos,1058.529715762274,0
23,2020-02-28,Todos,1058.529715762274,0
24,2020-02-29,Todos,1058.529715762274,0
25,2020-02-29,Todos,1058.529715762274,0
26,2020-02-29,Todos,1058.529715762274,0
27,2020-02-29,Todos,1058.529715762274,0
28,2020-02-29,Todos,1058.529715762274,0
29,2020-02-29,Todos,1058.529715762274,0
30,2020-02-29,Todos,1058.529715762274,0
31,2020-02-29,Todos,1058.529715762274,0
32,2020-03-01,Todos,1058.529715762274,0
33,2020-03-01,Todos,1058.529715762274,0
34,2020-03-01,Todos,1058.529715762274,0
35,2020-03-01,Todos,1058.529715762274,0
36,2020-03-01,Todos,1058.529715762274,0
37,2020-03-01,Todos,1058.529715762274,0
38,2020-03-01,Todos,1058.529715762274,0
39,2020-03-01,Todos,1058.529715762274,0
40,2020-03-02,Todos,1058.529715762274,0
41,2020-03-02,Todos,1058.529715762274,0
42,2020-03-02,Todos,1058.529715762274,0
43,2020-03-02,Todos,1058.529715762274,0
44,2020-03-02,Todos,1058.529715762274,0
45,2020-03-02,Todos,1058.529715762274,0
46,2020-03-02,Todos,1058.529715762274,0
47,2020-03-02,Todos,1058.529715762274,0
48,2020-03-03,Todos,1058.529715762274,0
49,2020-03-03,Todos,1058.529715762274,0
50,2020-03-03,Todos,1058.529715762274,0
51,2020-03-03,Todos,1058.529715762274,0
52,2020-03-03,Todos,1058.529715762274,0
53,2020-03-03,Todos,1058.529715762274,0
54,2020-03-03,Todos,1058.529715762274,0
55,2020-03-03,Todos,1058.529715762274,0
56,2020-03-04,Todos,1058.529715762274,0
57,2020-03-04,Todos,1058.529715762274,0
58,2020-03-04,Todos,1058.529715762274,0
59,2020-03-04,Todos,1058.529715762274,0
60,2020-03-04,Todos,1058.529715762274,0
61,2020-03-04,Todos,1058.529715762274,0
62,2020-03-04,Todos,1058.529715762274,0
63,2020-03-04,Todos,1058.529715762274,0
64,2020-03-05,Todos,1058.529715762274,0
65,2020-03-05,Todos,1058.529715762274,0
66,2020-03-05,Todos,1058.529715762274,0
67,2020-03-05,Todos,1058.529715762274,0
68,2020-03-05,Todos,1058.529715762274,0
69,2020-03-05,Todos,1058.529715762274,0
